recall@010,recall@020,ndcg@010,ndcg@020,accuracy@010,accuracy@020,precision@010,precision@020,f1@010,f1@020,mrr@010,mrr@020,phr@010,phr@020,user_id
0.6666666666666666,0.6666666666666666,0.7713707099946514,0.7713707099946512,0.6666666666666666,0.6666666666666666,0.6,0.3,0.631578947368421,0.41379310344827586,1.0,1.0,1.0,1.0,0
0.7000000000000001,0.4374999999999999,0.6429235234036081,0.4784084305355827,0.4374999999999999,0.4374999999999999,0.6999999999999998,0.3499999999999999,0.7,0.3888888888888888,0.5,0.5,1.0,1.0,1
0.6666666666666665,0.8333333333333335,0.745691957593426,0.8182597887640464,0.6666666666666665,0.8333333333333335,0.3999999999999999,0.25,0.5,0.3846153846153846,1.0,1.0,1.0,1.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005376344086021501,0.005376344086021501,0.0,0.0,3
0.5,0.7272727272727275,0.6489315753318468,0.7711285104510845,0.4545454545454546,0.7272727272727275,0.5,0.3999999999999999,0.5,0.5161290322580645,1.0,1.0,1.0,1.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253502,0.014084507042253502,0.0,0.0,5
0.6000000000000001,0.5833333333333335,0.6363762929310757,0.6168414601973762,0.5,0.5833333333333335,0.6000000000000001,0.3500000000000001,0.6000000000000001,0.4375,1.0,1.0,1.0,1.0,6
0.3999999999999999,0.4166666666666665,0.3254288624260271,0.3451085547652668,0.3333333333333335,0.4166666666666665,0.3999999999999999,0.25,0.3999999999999999,0.3125,0.33333333333333304,0.33333333333333304,1.0,1.0,7
0.5999999999999996,0.40000000000000036,0.44585678903770454,0.3657471189553254,0.18181818181818166,0.2424242424242422,0.6000000000000001,0.3999999999999999,0.6000000000000001,0.3999999999999999,0.25,0.25,1.0,1.0,8
1.0,0.8499999999999996,1.0,0.8946962107183332,0.3571428571428572,0.6071428571428568,1.0,0.8500000000000001,1.0,0.8500000000000001,1.0,1.0,1.0,1.0,9
0.20000000000000018,0.14285714285714324,0.33013764944712065,0.26731544729197676,0.1428571428571428,0.14285714285714324,0.20000000000000018,0.10000000000000009,0.20000000000000018,0.11764705882352944,1.0,1.0,1.0,1.0,10
0.40000000000000036,0.20000000000000018,0.35659643859662626,0.23013569804736367,0.20000000000000018,0.20000000000000018,0.40000000000000036,0.20000000000000018,0.40000000000000036,0.20000000000000018,0.33333333333333304,0.33333333333333304,1.0,1.0,11
0.75,0.75,0.775738618243607,0.775738618243607,0.75,0.75,0.2999999999999998,0.1499999999999999,0.4285714285714288,0.25,0.9999999999999991,0.9999999999999991,1.0,1.0,12
1.0,1.0,1.0,1.0,1.0,1.0,0.2999999999999998,0.1499999999999999,0.4615384615384617,0.2608695652173916,1.0,1.0,1.0,1.0,13
1.0000000000000009,1.0000000000000009,0.4227898344066494,0.4227898344066503,1.0,1.0,0.20000000000000018,0.10000000000000009,0.33333333333333304,0.18181818181818166,0.16666666666666607,0.16666666666666607,1.0,1.0,14
0.1999999999999993,0.3000000000000007,0.16421958630632716,0.2256126319110745,0.20000000000000018,0.2999999999999998,0.20000000000000018,0.1499999999999999,0.20000000000000018,0.20000000000000018,0.25,0.25,1.0,1.0,15
