recall@010,recall@020,ndcg@010,ndcg@020,accuracy@010,accuracy@020,precision@010,precision@020,f1@010,f1@020,mrr@010,mrr@020,phr@010,phr@020,user_id
0.4,0.35,0.36362370706892466,0.34501486403776493,0.2,0.35,0.4,0.35,0.4000000000000001,0.35,0.5,0.5,1.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142858,0.02857142857142858,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007874015748031482,0.007874015748031482,0.0,0.0,2
0.5,0.5,0.6131471927654584,0.6131471927654584,0.49999999999999994,0.5,0.09999999999999998,0.04999999999999999,0.16666666666666669,0.09090909090909094,0.9999999999999999,0.9999999999999999,1.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023529411764706687,0.0023529411764706687,0.0,0.0,4
0.4,0.5000000000000001,0.4003056681186047,0.44893222018557244,0.33333333333333326,0.5000000000000001,0.4,0.3,0.4,0.375,0.5,0.5,1.0,1.0,5
0.5,0.75,0.312706129752478,0.41820171398758843,0.5,0.75,0.20000000000000007,0.15000000000000002,0.2857142857142858,0.25,0.3333333333333335,0.3333333333333335,1.0,1.0,6
0.0,1.0,0.0,0.23137821315975904,0.0,1.0,0.0,0.050000000000000044,0.0,0.09523809523809534,0.052631578947368585,0.052631578947368585,0.0,1.0,7
0.33333333333333326,0.3333333333333335,0.2346393630113781,0.23463936301137833,0.33333333333333326,0.3333333333333335,0.10000000000000009,0.050000000000000044,0.15384615384615374,0.08695652173913038,0.3333333333333335,0.3333333333333335,1.0,1.0,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368407,0.02631578947368407,0.0,0.0,9
0.22222222222222232,0.3333333333333335,0.31877046341367876,0.38433476132954336,0.2222222222222221,0.3333333333333335,0.19999999999999996,0.15000000000000002,0.21052631578947367,0.2068965517241379,1.0,1.0,1.0,1.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027195,0.027027027027027195,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02499999999999991,0.02499999999999991,0.0,0.0,12
0.5,0.44999999999999973,0.5801476231864475,0.5125770931404188,0.16129032258064502,0.2903225806451615,0.5,0.44999999999999996,0.5,0.44999999999999996,1.0000000000000004,1.0000000000000004,1.0,1.0,13
1.0,1.0,1.0,0.9999999999999996,1.0,1.0,0.19999999999999996,0.10000000000000009,0.3333333333333335,0.18181818181818188,1.0,1.0,1.0,1.0,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515582,0.015151515151515582,0.0,0.0,15
0.5000000000000004,0.5,0.26406812257259116,0.26406812257259116,0.5,0.5,0.10000000000000009,0.050000000000000044,0.16666666666666652,0.09090909090909083,0.25,0.25,1.0,1.0,16
0.40000000000000036,0.40000000000000036,0.47036528278595746,0.47036528278595835,0.40000000000000036,0.40000000000000036,0.20000000000000018,0.10000000000000009,0.2666666666666666,0.16000000000000014,1.0,1.0,1.0,1.0,17
0.5,0.40000000000000036,0.6086182388744241,0.5039837374869887,0.20833333333333304,0.33333333333333304,0.5,0.3999999999999999,0.5,0.3999999999999999,1.0,1.0,1.0,1.0,18
