recall@010,recall@020,ndcg@010,ndcg@020,accuracy@010,accuracy@020,precision@010,precision@020,f1@010,f1@020,mrr@010,mrr@020,phr@010,phr@020,user_id
0.25,0.5,0.11751610475642714,0.22640986582465933,0.25,0.5,0.1,0.1,0.14285714285714288,0.16666666666666669,0.1111111111111111,0.1111111111111111,1.0,1.0,0
0.16666666666666663,0.33333333333333326,0.09546043308946735,0.17723515083863933,0.16666666666666663,0.33333333333333326,0.1,0.1,0.12500000000000003,0.1538461538461538,0.125,0.125,1.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,2
0.20000000000000007,0.19999999999999996,0.2139862647345276,0.21398626473452753,0.20000000000000007,0.19999999999999996,0.10000000000000003,0.04999999999999999,0.1333333333333333,0.08000000000000002,0.5,0.5,1.0,1.0,3
0.25,0.25,0.39038004999210163,0.39038004999210174,0.25,0.25,0.09999999999999998,0.04999999999999999,0.1428571428571429,0.08333333333333331,1.0,1.0,1.0,1.0,4
0.25,0.25,0.20626588994627681,0.20626588994627681,0.25,0.25,0.20000000000000007,0.10000000000000003,0.2222222222222222,0.1428571428571429,0.33333333333333326,0.33333333333333326,1.0,1.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009652509652511299,0.0009652509652511299,0.0,0.0,6
0.33333333333333326,0.33333333333333326,0.20210734650054762,0.20210734650054762,0.33333333333333326,0.33333333333333326,0.09999999999999998,0.04999999999999999,0.15384615384615385,0.08695652173913049,0.25,0.25,1.0,1.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001494768310911887,0.001494768310911887,0.0,0.0,8
0.5,0.9999999999999998,0.38685280723454163,0.5578858913022597,0.5,0.9999999999999998,0.09999999999999998,0.10000000000000003,0.16666666666666674,0.18181818181818188,0.5,0.5,1.0,1.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010256410256426207,0.00010256410256426207,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014108352144459602,0.00014108352144459602,0.0,0.0,11
0.5000000000000002,0.5,0.2043823975884862,0.2043823975884862,0.5000000000000002,0.5,0.09999999999999998,0.050000000000000044,0.16666666666666674,0.09090909090909094,0.1428571428571428,0.1428571428571428,1.0,1.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111072,0.011111111111111072,0.0,0.0,13
0.20000000000000018,0.18181818181818166,0.33013764944712043,0.3110418433719988,0.18181818181818166,0.18181818181818166,0.20000000000000007,0.09999999999999998,0.19999999999999996,0.12903225806451613,1.0,1.0,1.0,1.0,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01538461538461533,0.01538461538461533,0.0,0.0,15
