recall@010,recall@020,ndcg@010,ndcg@020,accuracy@010,accuracy@020,precision@010,precision@020,f1@010,f1@020,mrr@010,mrr@020,phr@010,phr@020,user_id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012331976815883587,0.00012331976815883587,0.0,0.0,0
0.25,0.25,0.15101961822780524,0.15101961822780524,0.25,0.25,0.1,0.05,0.14285714285714288,0.08333333333333334,0.2,0.2,1.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006447453255963853,0.0006447453255963853,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666663,0.016666666666666663,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011155734047299526,0.00011155734047299526,0.0,0.0,4
0.5,0.5,0.2640681225725909,0.2640681225725909,0.5,0.5,0.1,0.05,0.16666666666666666,0.09090909090909091,0.25,0.25,1.0,1.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001110740864156412,0.0001110740864156412,0.0,0.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001561036528254789,0.0001561036528254789,0.0,0.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001570105197048477,0.0001570105197048477,0.0,0.0,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011215791834900957,0.00011215791834900957,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011256190904995744,0.00011256190904995744,0.0,0.0,10
1.0,1.0,0.9197207891481876,0.9197207891481876,1.0,1.0,0.2,0.1,0.33333333333333337,0.18181818181818182,1.0,1.0,1.0,1.0,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011198208286677946,0.00011198208286677946,0.0,0.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009551098376312517,0.0009551098376312517,0.0,0.0,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011210762331836932,0.00011210762331836932,0.0,0.0,14
0.2857142857142856,0.7142857142857144,0.2650531012930031,0.4670790492641248,0.2857142857142856,0.7142857142857144,0.20000000000000007,0.25,0.23529411764705876,0.37037037037037035,0.5,0.5,1.0,1.0,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010952902519156815,0.00010952902519156815,0.0,0.0,16
1.0,1.0,0.9197207891481876,0.9197207891481878,1.0,1.0,0.19999999999999996,0.10000000000000003,0.3333333333333335,0.18181818181818188,1.0000000000000002,1.0000000000000002,1.0,1.0,17
0.10000000000000009,0.1333333333333333,0.09478836436955085,0.11612969547347296,0.06666666666666687,0.1333333333333333,0.09999999999999998,0.09999999999999998,0.10000000000000009,0.11428571428571432,0.25,0.25,1.0,1.0,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017583963425371607,0.00017583963425371607,0.0,0.0,19
0.3999999999999999,0.3333333333333335,0.388526472576344,0.3406505289235735,0.2666666666666666,0.3333333333333335,0.4,0.25,0.40000000000000013,0.2857142857142858,0.5,0.5,1.0,1.0,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000109565026843228,0.000109565026843228,0.0,0.0,21
1.0,1.0,1.0,0.9999999999999996,0.9999999999999996,1.0,0.10000000000000009,0.050000000000000044,0.18181818181818188,0.09523809523809512,0.9999999999999996,0.9999999999999996,1.0,1.0,22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538325,0.038461538461538325,0.0,0.0,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011027790030837537,0.00011027790030837537,0.0,0.0,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011053387863402264,0.00011053387863402264,0.0,0.0,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001100836635838931,0.0001100836635838931,0.0,0.0,26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004504504504501128,0.0004504504504501128,0.0,0.0,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142847,0.02857142857142847,0.0,0.0,28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000501504513541029,0.000501504513541029,0.0,0.0,29
0.20000000000000018,0.20000000000000018,0.14606834984270645,0.14606834984270645,0.20000000000000018,0.20000000000000018,0.10000000000000009,0.04999999999999993,0.1333333333333333,0.08000000000000007,0.25,0.25,1.0,1.0,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001160227404568559,0.0001160227404568559,0.0,0.0,31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011551345731763973,0.00011551345731763973,0.0,0.0,32
0.25,0.25,0.15101961822780563,0.15101961822780563,0.25,0.25,0.10000000000000009,0.050000000000000044,0.1428571428571428,0.08333333333333326,0.20000000000000018,0.20000000000000018,1.0,1.0,33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011604966925826687,0.00011604966925826687,0.0,0.0,34
